"reaction","out_degree","in_degree","abundance"
"R03009",1,0,0.179658455067814
"R06336",1,0,0.179658455067814
"R03008",1,1,0.0428704369802867
"R03809",1,0,0.0428704369802867
"R06337",1,0,0.0428704369802867
"R06338",1,1,0.0428704369802867
"R06342",0,1,0.0428704369802867
"R06343",0,1,0.0428704369802867
"R06344",0,1,0.0428704369802867
"R06345",0,1,0.0428704369802867
"R04147",0,0,0.668172497782134
"R02225",0,2,2.9311007788708
"R04384",12,10,0.129942261597937
"R09098",4,4,1.26453089308007
"R11528",29,30,583.393787971776
"R07460",2,17,583.393787971776
"R11529",8,8,583.393787971776
"R02884",88,85,0.626658428796992
"R00294",1,5,0.895196005682518
"R00275",50,50,155.826536830802
"R03658",1,5,982.992061242919
"R01099",43,37,0.726008954380562
"R01098",1,4,0.726008954380562
"R02978",2,0,4.27908006984268
"R06526",2,0,0.272956661711147
"R06525",1,3,0.272956661711147
"R06519",7,0,0.272956661711147
"R01495",1,7,2.12616347012462
"R01926",1,3,22.3095235326623
"R02976",1,3,22.3095235326623
"R09083",1,7,60.3297781909455
"R06530",1,1,428.268564758402
"R03632",88,85,959.392348038654
"R06602",1,1,3.32910868084741
"R03696",1,1,18.9088156179944
"R03732",143,145,33.3801165205792
"R02584",90,87,86.3951142516983
"R01708",6,3,341.133896012306
"R06562",0,0,1.07969353191606
"R06563",86,87,1.07969353191606
"R07747",0,0,1.07969353191606
"R07751",0,0,1.07969353191606
"R01836",8,5,0.636795523448179
"R01838",8,5,0.453672500266393
"R03406",1,2,0.453672500266393
"R03407",1,2,0.453672500266393
"R09956",1,0,0.453672500266393
"R09957",1,2,0.453672500266393
"R00134",58,66,29.7247281583138
"R03161",3,2,116.875093619059
"R00747",12,14,87.2051243132065
"R01538",4,7,0.236754244496683
"R02265",2,2,1.9259667080792
"R01823",16,5,59.4280238352721
"R02727",20,6,3.33764830731648
"R01557",9,7,50.5312508770539
"R01525",9,8,29.9706211044571
"R09322",4,6,0.695086637477656
"R01873",4,6,0.695086637477656
"R02415",6,6,0.695086637477656
"R02786",1,1,4.82508873889845
"R04613",1,2,5.16160587889267
"R08779",0,2,5.16160587889267
"R05707",4,3,1.29736739948846
"R01874",62,0,44.5837634707063
"R03446",1,0,52.4671217963772
"R09796",10,11,7.52799886581171
"R00411",35,1,2.34159969032894
"R05980",1,1,0.410727541669868
"R05981",0,1,0.410727541669868
"R07188",85,89,0.0225897833024233
"R05621",4,7,0.0225897833024233
"R05622",4,7,0.0225897833024233
"R08100",0,0,0.0225897833024233
"R08101",0,0,0.0225897833024233
"R08108",1,0,0.0225897833024233
"R08109",1,0,0.0225897833024233
"R08110",1,0,0.0225897833024233
"R10960",128,129,0.0766539623996912
"R06643",1,7,0.0766539623996912
"R09269",0,1,0.0766539623996912
"R11516",0,7,0.0766539623996912
"R00284",24,28,337.797846882118
"R00143",24,2,337.797846882118
"R02286",1,2,0.468957338682313
"R03352",54,55,0.0812484599858384
"R03158",2,2,0.0812484599858384
"R05064",1,1,0.0812484599858384
"R02765",2,3,38.400484696447
"R09979",0,2,38.400484696447
"R06782",1,1,1.21028754562719
"R06783",1,2,1.21028754562719
"R06784",1,1,0.819594239317122
"R06785",1,1,0.819594239317122
"R06786",1,0,1.81601496769817
"R06787",1,0,1.81601496769817
"R04376",1,2,1.79048443609659
"R06788",1,2,1.79048443609659
"R02603",18,20,2.66095984199235
"R06789",10,1,2.66095984199235
"R06836",7,3,5.13310970634903
"R10185",1,0,70.7645160882595
"R00813",3,2,0.168688530704814
"R08111",1,1,0.168688530704814
"R08112",1,1,0.168688530704814
"R08113",1,1,0.168688530704814
"R04364",0,4,23.3705955208689
"R02733",2,3,21.0226572811358
"R01934",5,5,0.250360516123814
"R01936",4,1,0.250360516123814
"R04862",1,3,0.250360516123814
"R09775",3,1,0.0415302595400054
"R02113",59,50,7.6137520867135
"R01012",26,5,124.378292936083
"R01488",87,88,117.501387865271
"R10189",90,90,28.8340373481719
"R10984",105,103,0.757177506905633
"R06126",105,102,0.757177506905633
"R06830",2,3,0.757177506905633
"R01872",4,6,0.175975479183369
"R06846",4,6,0.175975479183369
"R06847",6,6,0.175975479183369
"R12992",0,0,0.0557141277964881
"R03401",0,0,0.0557141277964881
"R05812",1,1,96.7590131584254
"R05150",1,0,96.7590131584254
"R03748",2,2,27.0294994027125
"R09884",1,5,27.0294994027125
"R09520",6,5,0.246125280745754
"R00083",60,60,0.563167578615271
"R00090",82,82,5.67646785902811
"R05724",82,82,1.66364863156307
"R05725",86,87,1.66364863156307
"R12118",78,84,0.0417017122058698
"R12119",2,2,0.0417017122058698
"R12120",2,2,0.0417017122058698
"R12121",78,84,0.0417017122058698
"R05640",0,0,0.0417017122058698
"R05731",0,0,0.0417017122058698
"R05743",45,44,393.009078127637
"R04133",1,1,26.5706941935318
"R04380",0,2,26.5706941935318
"R12011",69,67,26.6608964830264
"R07236",0,0,5.70893152344251
"R07504",0,0,5.70893152344251
"R10491",0,0,5.70893152344251
"R10492",0,0,5.70893152344251
"R02037",1,1,0.279838007517705
"R06868",1,1,0.279838007517705
"R06869",2,1,0.279838007517705
"R05180",1,1,84.2232286699526
"R05809",1,0,84.2232286699526
"R11580",1,1,87.0494492060932
"R05181",0,1,180.11938638599
"R05810",1,2,180.11938638599
"R04864",8,1,17.2622352683739
"R05566",49,47,47.1036759434936
"R10706",38,39,45.4967266589924
"R09675",89,86,94.2465535214947
"R01810",73,78,166.834801797914
"R08600",4,4,166.834801797914
"R08601",4,4,166.834801797914
"R05797",44,43,0.118929691869882
"R05118",0,0,0.118929691869882
"R05789",3,1,9.09738667436801
"R04118",6,6,1.37615238174366
"R02192",22,22,84.9748907604032
"R05782",4,4,5.46526586404639
"R00254",35,0,5.46526586404639
"R05814",1,1,153.023082792401
"R05177",1,1,153.023082792401
"R01824",0,1,0.336383661359332
"R07323",2,3,6.14218215197487
"R07322",0,4,6.14218215197487
"R01047",1,5,8.87776963660771
"R03357",86,87,1.60475162753792
"R02756",7,8,1.60475162753792
"R04360",0,1,1.60475162753792
"R07353",34,34,0.504539269001034
"R01742",8,6,3.19066652982897
"R01741",8,6,3.19066652982897
"R10186",1,1,20.1639576318995
"R10204",2,1,21.4993803393904
"R10205",3,1,179.238637090517
"R10645",80,80,212.194906925721
"R10646",78,79,212.194906925721
"R10647",69,67,212.194906925721
"R03020",1,1,850.385638108981
"R02324",5,2,3.97496380539953
"R10089",65,71,110.942940424418
"R10088",26,31,110.942940424418
"R07456",3,28,110.942940424418
"R08878",86,87,620.082127064108
"R07182",9,9,33.3700416571763
"R11880",76,76,2.25456801582689
"R11881",76,76,2.25456801582689
"R11882",76,76,2.25456801582689
"R03824",2,1,0.0453327683516372
"R04801",1,2,0.0453327683516372
"R05341",2,4,0.0453327683516372
"R06962",0,0,0.0453327683516372
"R07856",0,1,0.0453327683516372
"R10508",0,0,0.0453327683516372
"R05049",1,1,3.15499408541906
"R09952",5,5,35.1789951406321
"R02411",0,6,3.48561256235001
"R06978",0,2,0.0895176910541782
"R08247",0,0,23.974786866931
"R10531",88,85,6.24196592289528
"R06975",2,3,0.614298565253548
"R12062",122,118,17.3958875310175
"R12059",4,4,17.3958875310175
"R12060",38,38,17.3958875310175
"R12061",5,5,17.3958875310175
"R12066",122,118,17.3958875310175
"R12063",4,4,17.3958875310175
"R12064",38,38,17.3958875310175
"R12065",5,5,17.3958875310175
"R07605",0,1,150.345467131534
"R10486",5,1,38.7321193810991
"R10339",0,2,74.7524320477727
"R12017",36,34,159.112961002803
"R02156",0,0,112.717319966756
"R12580",73,71,1.09827665826706
"R12581",25,24,1.09827665826706
"R12582",4,4,1.09827665826706
"R12583",51,50,1.09827665826706
"R09978",1,1,151.238112922088
"R03613",2,2,32.1935382307497
"R02319",9,9,8.6370967269371
"R00086",68,74,8.6370967269371
"R00615",18,19,8.6370967269371
"R10496",3,2,1.21031717678749
"R10776",1,1,77.2190909291966
"R02171",10,12,142.965445783556
"R00510",3,15,142.965445783556
"R12955",25,26,142.965445783556
"R12956",12,15,142.965445783556
"R07232",69,67,3.96725029226363
"R10093",5,0,0.655551768771464
"R09378",1,1,0.189035152597247
"R11102",0,11,0.16372712219638
"R10337",53,53,0.16372712219638
"R09749",94,95,10.9559627217527
"R07164",138,139,9.25402528920264
"R07165",143,145,9.25402528920264
"R07407",1,14,9.25402528920264
"R07410",1,14,9.25402528920264
"R09707",0,0,28.3572873669509
"R12105",1,1,190.960119201312
"R12106",2,2,190.960119201312
"R12107",1,1,190.960119201312
"R12108",2,2,190.960119201312
"R05790",1,0,11.098275407049
"R09770",1,1,36.8204852408973
"R11188",0,0,244.327121951023
"R10611",74,72,1.17925846729717
"R11154",11,14,7.43923227337593
"R11159",11,14,7.43923227337593
"R11160",8,8,7.43923227337593
"R10342",89,85,495.251199632159
"R11024",1,1,22.5485546367429
"R08555",4,6,181.244592834337
"R09646",20,20,0.0630097508607556
"R04556",83,83,0.805063875090912
"R04557",88,89,0.805063875090912
"R06601",0,0,16.6609799000125
"R11582",0,1,266.635661489063
"R04216",0,0,2.94266356457567
"R01291",9,1,470.549486206505
"R08991",1,1,185.32842499017
"R11816",9,3,0.0849612490094527
"R11817",9,3,0.0849612490094527
"R09541",94,98,4.01803291377339
"R11861",2,13,3.23181100789964
"R00215",61,63,0.582962861667185
"R02545",1,1,0.582962861667185
"R06180",3,3,0.582962861667185
"R01751",8,8,0.582962861667185
"R01333",8,11,3.20961010236855
"R01446",7,6,3.31627575578338
"R00203",62,7,3.31627575578338
"R04188",4,1,4.07675998231053
"R02274",2,3,4.10665192208979
"R02134",6,6,3.06488695369908
"R01378",7,7,3.35547354275967
"R03342",5,4,3.35547354275967
"R09781",4,5,4.62473364660159
"R09773",3,3,4.62473364660159
"R09774",4,5,4.62473364660159
"R12207",3,3,4.62473364660159
"R09669",1,4,5.188160196338
"R09670",0,5,5.188160196338
"R05151",0,0,2.71114635545277
"R04120",14,14,105.087400504665
"R07606",36,37,105.087400504665
"R07607",14,14,74.1988097777315
"R09501",0,0,78.394513863572
"R07229",2,0,195.99465997873
"R11659",1,1,26.1157824183077
"R04494",62,55,4.52804665343238
"R00544",26,26,23.3488330359705
"R00638",19,18,23.3488330359705
"R07162",11,3,1.21257166393732
"R01278",6,2,1.21257166393732
"R03776",3,2,1.21257166393732
"R03856",2,3,1.21257166393732
"R03989",2,2,1.21257166393732
"R04753",2,2,1.21257166393732
"R06985",2,2,1.21257166393732
"R10455",74,72,1.08679878654822
"R10463",7,3,769.572664616791
"R10220",87,89,639.612903151817
"R11082",5,2,2.5089655387828
"R08574",8,4,0.381613687777594
"R07290",19,25,70.7984498423249
"R12917",136,131,26.563256154656
"R12918",136,131,26.563256154656
"R12919",93,89,26.563256154656
"R07659",1,1,35.1948316495736
"R02560",5,0,32.5665916047222
"R02973",1,0,0.824613757295145
"R07349",82,82,0.681522474900249
"R07350",86,87,0.681522474900249
"R03840",91,88,2.57231357231223
"R02248",0,0,4.62612052133605
"R02832",0,0,1.88110344171578
"R02637",3,3,7.67749489075481
"R02639",3,3,7.67749489075481
"R05338",20,17,8.31800010820618
"R05339",19,2,11.2237455765351
"R09780",14,13,11.2237455765351
"R07476",16,15,0.249380855561164
"R02394",2,2,0.685693407906565
"R04291",39,34,34.7999470625194
"R05776",0,0,4.42709401284968
"R07175",137,139,5.64768756812705
"R11702",6,4,10.1754149743265
"R05226",5,3,16.1435604560392
"R01697",11,9,0.0903403114606596
"R02925",8,2,0.0903403114606596
"R04540",4,1,32.1653059565701
"R11600",2,2,34.5261959752343
"R10643",6,6,17.0605281427221
"R10644",5,5,17.0605281427221
"R10675",4,4,16.7102635099191
"R04638",0,3,14.3706579774243
"R10719",83,83,2.490756046541
"R01668",5,3,9.66806517471809
"R11182",114,112,25.6419709941817
"R10848",6,6,66.6582224016443
"R09494",37,45,6.12065980167225
"R11488",14,16,55.5727564977577
"R10149",15,2,55.5727564977577
"R02628",73,75,722.594809369874
"R07651",11,8,110.695179466836
"R01384",0,3,92.3962638306092
"R01385",6,3,142.088923184563
"R08166",1,1,35.6806902297277
"R01623",4,18,10.2441827908886
"R07582",0,0,0.0946436040036273
"R02822",44,43,0.0946436040036273
"R05842",2,0,0.0946436040036273
"R07108",0,1,0.0946436040036273
"R07109",0,1,0.0946436040036273
"R07110",0,1,0.0946436040036273
"R07111",0,1,0.0946436040036273
"R04168",1,1,3.31457894323496
"R02806",10,10,3.31457894323496
"R02030",0,6,185.643342731115
"R03744",88,85,0.401741706139478
"R04358",88,85,0.194605700957161
"R04420",1,2,108.692569177949
"R07392",2,2,0.832592557517344
"R07393",3,2,4.80558196135945
"R07394",3,4,3.14273016534104
"R07363",2,3,0.348754856777073
"R07364",4,5,0.348754856777073
"R07608",36,37,34.6680391044238
"R02025",24,0,34.6680391044238
"R12755",90,87,29.6855999698675
"R09640",88,85,29.6855999698675
"R12544",13,12,0.258207585988006
"R12756",7,6,0.258207585988006
"R12545",13,12,0.258207585988006
"R12539",7,10,0.258207585988006
"R12546",10,11,0.258207585988006
"R12547",10,11,0.258207585988006
"R09936",2,12,0.258207585988006
"R09937",20,23,0.258207585988006
"R12625",3,3,4.24400880407189
"R09980",5,3,4.24400880407189
"R12623",3,3,4.24400880407189
"R12624",3,3,4.24400880407189
"R09947",5,2,4.24400880407189
"R09948",1,2,4.24400880407189
"R09949",5,8,4.24400880407189
"R09950",2,2,4.24400880407189
"R07245",1,7,87.6585842577341
"R11921",1,1,250.113816708423
"R11625",1,0,54.3120903447091
"R01155",8,6,6.23146687500499
"R12214",4,3,6.23146687500499
"R07292",46,44,0.158236784784214
"R04053",2,1,16.9092087178344
"R03998",0,0,1.59398647437693
"R03999",0,0,1.59398647437693
"R07414",0,7,4.27356279557055
"R07417",1,0,1.05520445427896
"R07418",1,0,1.05520445427896
"R07419",3,9,1.97696578844323
"R03169",2,2,0.0891608458760409
"R07163",0,2,38.2164564797921
"R02610",86,89,10.9558975391692
"R02208",0,2,10.9558975391692
"R02497",1,3,10.9558975391692
"R02892",87,88,10.9558975391692
"R07429",0,0,10.9558975391692
"R07447",0,0,10.9558975391692
"R08954",0,1,10.9558975391692
"R10242",1,5,10.9558975391692
"R09677",64,57,0.0689249648968237
"R09676",65,57,0.0689249648968237
"R03651",34,37,3.42937920320039
"R02662",7,12,0.325674866720685
"R03174",6,11,0.325674866720685
"R04097",62,5,0.325674866720685
"R10998",20,1,0.325674866720685
"R09379",1,6,0.771190785507264
"R00397",27,20,18.5063142698687
"R00863",8,1,18.5063142698687
"R03647",0,14,18.1196929420803
"R12500",48,47,573.90580618266
"R12806",18,17,108.81999424547
"R07512",3,0,7.91547330886161
"R06954",0,0,1.38049773560629
"R07535",0,0,0.0327818171085213
"R07521",0,0,0.0327818171085213
"R07524",0,0,0.0327818171085213
"R07527",0,0,0.0327818171085213
"R07529",0,0,0.0327818171085213
"R07533",0,0,0.0327818171085213
"R12753",1,0,0.0327818171085213
"R12115",6,6,0.0907957738368297
"R07541",0,1,0.0907957738368297
"R07857",1,2,0.0907957738368297
"R07858",1,1,0.0907957738368297
"R07560",1,2,0.0907957738368297
"R12116",6,6,0.0907957738368297
"R07849",0,1,0.0907957738368297
"R07395",3,2,0.193747550307186
"R03754",88,85,1.72301066319085
"R02757",7,3,1.72301066319085
"R02758",89,86,1.72301066319085
"R00158",61,61,597.250287181182
"R01898",5,5,64.6739678248611
"R07658",1,3,4.0239404525192
"R07660",1,1,4.0239404525192
"R07661",0,1,60.9097486460995
"R10002",1,1,159.39990834113
"R09659",5,5,0.509182329155757
"R04798",3,3,0.509182329155757
"R04800",3,2,0.509182329155757
"R09691",6,5,0.509182329155757
"R09692",1,5,0.509182329155757
"R04787",3,3,0.509182329155757
"R09693",7,6,0.509182329155757
"R09716",6,7,0.509182329155757
"R00889",10,8,0.333886822757698
"R07672",10,8,0.333886822757698
"R07613",6,6,729.56824375658
"R02172",4,4,3.31072371514338
"R02137",3,5,3.31072371514338
"R02604",20,26,1.70399605627162
"R05296",19,25,1.70399605627162
"R05362",6,6,1.70399605627162
"R05865",18,3,1.70399605627162
"R03889",0,1,0.283393077967282
"R02762",1,2,0.283393077967282
"R05353",3,2,0.283393077967282
"R00008",61,63,17.2540684713445
"R00350",79,2,17.2540684713445
"R04279",2,0,1.7474741837663
"R04278",2,0,1.7474741837663
"R04419",3,2,1.7474741837663
"R04277",2,4,0.608036502848488
"R07264",17,21,13.976898394615
"R10826",0,0,0.121030408601368
"R07759",0,0,0.121030408601368
"R02813",1,3,467.572342595276
"R02089",4,4,22.6243958270918
"R03347",6,7,0.534243474250392
"R11996",65,68,2.63236841393266
"R04466",88,86,23.1807670965806
"R01416",2,2,80.6334947940693
"R07226",61,62,79.2004248837174
"R07227",25,22,30.2189857474957
"R07228",19,22,32.3503688869135
"R02227",90,86,3.10505700949497
"R07354",82,82,11.3015678885115
"R01793",4,3,11.3015678885115
"R07355",86,87,11.3015678885115
"R01794",4,3,11.3015678885115
"R11720",1,1,82.9019325000034
"R08124",89,86,94.4039138761857
"R10822",99,102,2.0559306359543
"R10823",8,10,2.0559306359543
"R00053",3,2,0.130508752294709
"R02814",2,1,0.652445209482083
"R01706",2,4,0.652445209482083
"R08159",0,3,0.652445209482083
"R08162",0,2,0.652445209482083
"R08163",0,1,0.652445209482083
"R02825",2,1,9.4020201436047
"R01689",85,84,50.6751321582885
"R02252",3,1,50.6751321582885
"R07342",27,33,1.41720244264721
"R01241",28,34,1.41720244264721
"R06893",1,1,1.41720244264721
"R01274",5,7,2.63208575853635
"R08174",0,0,2.63208575853635
"R08175",0,0,2.63208575853635
"R08176",2,2,2.63208575853635
"R08177",4,0,2.63208575853635
"R08178",2,0,2.63208575853635
"R08179",0,0,2.63208575853635
"R08180",0,1,2.63208575853635
"R08181",1,1,2.63208575853635
"R08182",0,1,2.63208575853635
"R08183",8,0,2.63208575853635
"R09450",3,2,2.63208575853635
"R09977",1,2,0.383093896681015
"R05704",0,22,4.73399967295909
"R00374",25,21,4.73399967295909
"R08223",0,1,1.28920007366199
"R11226",0,0,0.411571161142496
"R11518",0,0,0.411571161142496
"R02063",4,3,0.411571161142496
"R08379",3,1,55.9944161417347
"R00861",21,26,3.54151613651158
"R00295",0,0,3.54151613651158
"R08035",0,1,3.54151613651158
"R08559",3,1,4.3681828135564
"R11169",3,4,3.32203416081212
"R12024",31,31,79.2508963985434
"R09767",0,1,0.513828309910048
"R09398",1,2,1.52258563514918
"R12648",8,9,1.52258563514918
"R12649",8,9,1.52258563514918
"R01844",10,9,10.8525243193063
"R11183",89,86,13.7470095778166
"R11219",72,70,2.36409258570688
"R11216",72,70,2.36409258570688
"R11217",69,67,2.36409258570688
"R10939",2,2,9.87188828550874
"R08569",5,0,4.92770207474962
"R08776",0,0,32.7354857541837
"R03599",10,2,188.859853184483
