"rep_i","rep_j","RF","wRF","path","nodal"
1,2,0.952380952380952,0.43102812457715,0.681942514223279,0.466354922702353
1,3,0.80952380952381,0.391854729321692,0.663588384522324,0.439019324415593
1,4,0.904761904761905,0.421261197222973,0.728021426586051,0.451683366039285
1,5,0.857142857142857,0.38450653313878,0.645006538455585,0.540027853735362
1,6,1,0.40935577495838,0.78526513827243,0.521023668394115
1,7,0.666666666666667,0.337567420361843,0.541583853072462,0.348806853511667
1,8,0.761904761904762,0.362361706588887,0.647651825858612,0.438840052257875
1,9,0.80952380952381,0.347422183994387,0.721731706754632,0.561816245640825
1,10,0.904761904761905,0.388159084244509,0.694912034406018,0.572204718349476
1,11,0.761904761904762,0.370232240962507,0.78526513827243,0.608534039824228
1,12,0.904761904761905,0.395823706183942,0.664732503276208,0.506278810560628
1,13,0.857142857142857,0.396125742905505,0.697368043754407,0.440321594055818
1,14,0.952380952380952,0.423231997375993,0.748605593317673,0.893885510532792
1,15,0.857142857142857,0.409828085336805,0.747589845776144,0.560933040054842
1,16,0.904761904761905,0.368923239540234,0.715386689491438,0.595916207703501
1,17,0.904761904761905,0.407319994235622,0.674942303061533,0.609544491866016
1,18,0.761904761904762,0.359515029485606,0.705762214879323,0.42994850823992
1,19,0.952380952380952,0.3934801377297,0.729324957489473,0.488092670971124
1,20,0.904761904761905,0.395069025485716,0.727238186524339,0.404971436375222
1,21,0.80952380952381,0.391573598413197,0.837930581596392,0.562743767312174
1,22,0.80952380952381,0.364124497413663,0.63311599747708,0.453548292955856
1,23,0.904761904761905,0.388124289015761,0.727238186524339,0.589546014357512
1,24,0.904761904761905,0.382205076405501,0.798697648131444,0.426307255790892
1,25,0.904761904761905,0.393956676565567,0.830644090367964,0.511740579226221
1,26,0.904761904761905,0.381040118973839,0.670707107697622,0.535372791057989
1,27,0.761904761904762,0.367725480238562,0.703605564413441,0.749152506543878
1,28,0.904761904761905,0.394450349675176,0.63191463776565,0.361413559355058
1,29,0.857142857142857,0.376642768178884,0.615158071464187,0.391719236140853
1,30,0.857142857142857,0.350139567918889,0.691898406021664,0.562830513748149
2,3,0.952380952380952,0.36762244914102,0.881031103577578,0.491914833238736
2,4,0.952380952380952,0.427096290559754,0.862728759143975,0.513408777450285
2,5,0.857142857142857,0.361802466529331,0.757686047051585,0.475811307626376
2,6,0.857142857142857,0.371835759117569,0.712192982965153,0.522911543129609
2,7,0.904761904761905,0.350573350265071,0.752907232606949,0.438206801914947
2,8,0.952380952380952,0.377037190951308,0.681942514223279,0.411351675671944
2,9,0.80952380952381,0.368400174578058,0.739413634440394,0.517607293342891
2,10,1,0.398678825375323,0.788162805455025,0.510007259789497
2,11,0.904761904761905,0.396981554244172,0.905697937393805,0.6732617303584
2,12,0.904761904761905,0.386889268678335,0.798697648131444,0.494522828489311
2,13,0.714285714285714,0.332146816371514,0.676348141500099,0.396874426395859
2,14,0.857142857142857,0.400721378383329,0.712192982965153,0.72943220214787
2,15,0.904761904761905,0.362679924698652,0.803440549963237,0.510504220793926
2,16,0.952380952380952,0.390888714163509,0.800598180617787,0.556063773632215
2,17,1,0.425171850483038,0.810971498905155,0.515936441294373
2,18,0.80952380952381,0.380945236087152,0.698184793646372,0.439338391315962
2,19,0.904761904761905,0.38582635746567,0.840646733230544,0.535112643410419
2,20,0.857142857142857,0.362560582805557,0.768885823991018,0.433863450513566
2,21,0.904761904761905,0.401376360526755,0.86206791740844,0.56107372903285
2,22,0.904761904761905,0.383134090403444,0.728021426586051,0.486739058128253
2,23,1,0.421098415942973,0.851424695529825,0.590837847790741
2,24,0.761904761904762,0.343667523416003,0.850308365306036,0.378880059392377
2,25,1,0.430404712753136,0.835205596878847,0.541751903814821
2,26,0.857142857142857,0.36481301394087,0.751897296226651,0.419238537971697
2,27,0.952380952380952,0.370330051886536,0.792009870682404,0.618825524257476
2,28,1,0.395993295913707,0.875840889909628,0.477132639439251
2,29,0.952380952380952,0.364499273211544,0.697368043754407,0.408720999274883
2,30,0.904761904761905,0.376484423981654,0.859419469006961,0.553085563473015
3,4,0.857142857142857,0.398601863162365,0.777729530032452,0.438611099111271
3,5,0.952380952380952,0.39435256183501,0.826057395505114,0.567074517546053
3,6,0.857142857142857,0.35232926603121,0.869964887667931,0.541501576538454
3,7,0.904761904761905,0.376245055097448,0.759689186163965,0.358617405409515
3,8,0.857142857142857,0.361986976068688,0.805329889550263,0.465725832146312
3,9,0.857142857142857,0.377410354677342,0.816806741083615,0.55524183388391
3,10,1,0.374331567410486,0.803676960311141,0.543177606733941
3,11,0.904761904761905,0.390616117489552,0.886405260427918,0.54606410481069
3,12,0.904761904761905,0.379671336969147,0.759939207295027,0.48918480034514
3,13,1,0.382076524418091,0.771598821695146,0.412945320431492
3,14,1,0.412276432827336,0.89323700126312,0.861675870393375
3,15,0.80952380952381,0.338394455698744,0.746827128509951,0.529998769844082
3,16,0.80952380952381,0.319942453914051,0.800835430046796,0.557883034454531
3,17,0.857142857142857,0.363334313338575,0.683055890498042,0.590621695868697
3,18,0.904761904761905,0.370863289538687,0.798935461936961,0.458056429274257
3,19,0.952380952380952,0.367534900323811,0.887904195385049,0.5030760620729
3,20,0.904761904761905,0.386108518554,0.79296872075591,0.401103751516835
3,21,1,0.39695660005869,0.934601649453442,0.53181187147917
3,22,0.80952380952381,0.347455581290497,0.690799281569121,0.389566058286678
3,23,0.857142857142857,0.392402832382832,0.90401838483605,0.601229501832436
3,24,0.952380952380952,0.379640428159914,0.920056823935629,0.469387479951014
3,25,0.904761904761905,0.384832581583761,0.935414346693485,0.524696988984517
3,26,0.952380952380952,0.365934206014113,0.693817684066502,0.494900626594322
3,27,0.857142857142857,0.366506678619021,0.827895122794249,0.740438823795153
3,28,0.952380952380952,0.384297147112324,0.759939207295027,0.419794414782137
3,29,0.904761904761905,0.383043981647957,0.752654875558597,0.419502343279309
3,30,0.952380952380952,0.383573345498858,0.861847524226413,0.565463958048585
4,5,1,0.393902236199216,0.834295290780695,0.565327435959286
4,6,0.904761904761905,0.379857757308981,0.884689082127995,0.526536502229056
4,7,0.761904761904762,0.325867679170931,0.753663796756242,0.364947646636711
4,8,0.904761904761905,0.369862912694703,0.820287961892366,0.485779924386687
4,9,0.857142857142857,0.367515690525324,0.935617410702541,0.609242556357245
4,10,0.952380952380952,0.37709019304757,0.718830526082444,0.556159622242082
4,11,0.904761904761905,0.393778019220526,0.869964887667931,0.537141071556884
4,12,0.904761904761905,0.370128451833848,0.747843912001245,0.469017147491296
4,13,0.952380952380952,0.394904357200875,0.761687057296026,0.45692570158144
4,14,1,0.418576893833796,0.797030964682436,0.8390979170696
4,15,0.857142857142857,0.409149377642304,0.774792844164026,0.523886380193168
4,16,0.952380952380952,0.381628802525739,0.827895122794249,0.581570826723168
4,17,0.80952380952381,0.381602035960463,0.656971036080922,0.537819217464542
4,18,0.952380952380952,0.403256747292703,0.81120571450539,0.468308528218866
4,19,0.904761904761905,0.386351589039239,0.726976918979883,0.457753363143661
4,20,0.952380952380952,0.416493120240275,0.773565934694095,0.402231859263523
4,21,0.80952380952381,0.353936557364215,0.828583219704384,0.515175326160315
4,22,0.761904761904762,0.355341120488961,0.709252785456505,0.424430063951553
4,23,0.904761904761905,0.40122303661773,0.929710547497263,0.628174611905093
4,24,0.857142857142857,0.371755861056407,0.809330091846577,0.491015692044993
4,25,0.904761904761905,0.399032311983566,0.861847524226413,0.460720891531034
4,26,0.857142857142857,0.366899402848063,0.717507929697875,0.503234814827077
4,27,0.80952380952381,0.351670256647433,0.823293113144994,0.749223449218566
4,28,0.857142857142857,0.333235917760805,0.724096754185856,0.41588187773183
4,29,0.904761904761905,0.372939777633338,0.723834352744304,0.430773824231124
4,30,0.857142857142857,0.397006564078162,0.797745683969392,0.506018839561682
5,6,0.952380952380952,0.415465216763762,0.845154254728517,0.657157724588929
5,7,0.857142857142857,0.333082868049545,0.726976918979883,0.505859016456708
5,8,0.952380952380952,0.390775512398269,0.757686047051585,0.519136064716989
5,9,0.952380952380952,0.39836143479629,0.795121905738235,0.603923142895427
5,10,1,0.391822827188653,0.700629330649642,0.427858343850364
5,11,0.952380952380952,0.418721927791765,0.894087298458287,0.698541289171234
5,12,0.904761904761905,0.40565816665991,0.740697116806178,0.442223124089688
5,13,0.857142857142857,0.344069605340507,0.672686850461784,0.459286831331806
5,14,0.857142857142857,0.398652695441332,0.688595769474807,0.65139765247736
5,15,0.904761904761905,0.39319507932283,0.758938628576309,0.513132122329503
5,16,0.952380952380952,0.376854201465873,0.784539049223708,0.613222871344586
5,17,1,0.425777068083795,0.765915230177354,0.464176238320676
5,18,1,0.395805350371047,0.734515947962704,0.466551874243094
5,19,0.80952380952381,0.38858341014443,0.73322164572721,0.574385178963061
5,20,0.857142857142857,0.392484038445976,0.789126330026848,0.528857680426267
5,21,1,0.425758936654216,0.928892859962199,0.66071031503404
5,22,0.952380952380952,0.394429632317935,0.665018225405575,0.547814365334843
5,23,0.857142857142857,0.381520574634043,0.759689186163965,0.534050291703935
5,24,0.904761904761905,0.360014103974675,0.878656061359696,0.345472936120854
5,25,0.904761904761905,0.395005603355938,0.816574132011239,0.580424683403947
5,26,0.952380952380952,0.348594181865523,0.749619964505622,0.35426824736824
5,27,0.904761904761905,0.345563254396024,0.738642474521452,0.480381901430815
5,28,0.80952380952381,0.339183880555733,0.784539049223708,0.47888913524503
5,29,0.80952380952381,0.338902109666088,0.612372435695795,0.371049836122381
5,30,0.857142857142857,0.359839759930364,0.763679701792637,0.580987669775542
6,7,0.80952380952381,0.358195321428894,0.818433153499857,0.52321456265282
6,8,0.952380952380952,0.363192051907048,0.769626680906741,0.547345321643444
6,9,0.904761904761905,0.377741920107885,0.823293113144994,0.637436816072633
6,10,0.952380952380952,0.392183441311356,0.846052877262775,0.647709747933872
6,11,0.904761904761905,0.367907092604095,0.824215570703976,0.630434760335559
6,12,0.952380952380952,0.36981039062321,0.765915230177354,0.541455969344455
6,13,0.904761904761905,0.361680447830084,0.761687057296026,0.540948296660238
6,14,0.904761904761905,0.380980452866745,0.800835430046796,0.885359520551534
6,15,0.857142857142857,0.374332331322569,0.718830526082444,0.574199942315035
6,16,0.904761904761905,0.354654812064911,0.74376843799781,0.585936579021339
6,17,0.952380952380952,0.37676070857043,0.819592900650288,0.673732450502423
