"rep_i","rep_j","RF","wRF","path","nodal"
1,2,0.380952380952381,0.181634259505214,0.750681032515553,0.604831101076104
1,3,0.333333333333333,0.138867003445212,0.708439688648815,0.483612335572245
1,4,0.285714285714286,0.142990114564391,0.668237143911609,0.44325286657711
1,5,0.333333333333333,0.143287495790967,0.747322263844545,0.638458456097721
1,6,0.285714285714286,0.076525461884083,0.540207274452195,0.17594119388551
1,7,0.428571428571429,0.186356784797698,0.739709274864629,0.626324545096835
1,8,0.285714285714286,0.130372144797412,0.708439688648815,0.425365760934073
1,9,0.333333333333333,0.116520130060927,0.671991314708773,0.319311938407691
1,10,0.285714285714286,0.109007391431116,0.697705133154536,0.406486087276675
1,11,0.333333333333333,0.137159705875043,0.702197807605727,0.501696291186613
1,12,0.285714285714286,0.126361581367937,0.697705133154536,0.446794060702674
1,13,0.380952380952381,0.148385423370278,0.756522996362409,0.566585507306517
1,14,0.380952380952381,0.116524927295947,0.7802595923451,0.396138915861913
1,15,0.238095238095238,0.0983405614380425,0.625455808633559,0.557035454987844
1,16,0.19047619047619,0.138955986315259,0.5795248541726,0.511699114822468
1,17,0.285714285714286,0.134146554559876,0.698605979408571,0.567357654402421
1,18,0.428571428571429,0.161818149804436,0.701301575195058,0.595163290928083
1,19,0.333333333333333,0.144783270481822,0.811086700186932,0.815788486841517
1,20,0.380952380952381,0.151504130886416,0.756522996362409,0.40764198325786
1,21,0.333333333333333,0.116187913943927,0.753190279733001,0.580640090622947
1,22,0.333333333333333,0.14239825268102,0.736300458223322,0.552429216789746
1,23,0.333333333333333,0.114771130052952,0.719013999916185,0.501537154009116
1,24,0.380952380952381,0.124109758018349,0.811861747377807,0.357236776657246
1,25,0.333333333333333,0.138787781309435,0.657802707896314,0.439248447941686
1,26,0.333333333333333,0.161171779382221,0.719013999916185,0.599915382164694
1,27,0.238095238095238,0.129836822954648,0.668237143911609,0.353635412614704
1,28,0.285714285714286,0.115036868277764,0.657802707896314,0.315288869711003
1,29,0.19047619047619,0.104529875503923,0.470514237615337,0.313434722776153
1,30,0.285714285714286,0.112559130503019,0.697705133154536,0.356928112691083
2,3,0.285714285714286,0.134485766808882,0.600837989235182,0.342358373468125
2,4,0.380952380952381,0.165128295657178,0.686802819743445,0.451304039922315
2,5,0.380952380952381,0.165965178188041,0.82721020881016,0.333861311946497
2,6,0.380952380952381,0.200229914793361,0.698605979408571,0.566746109902056
2,7,0.428571428571429,0.209062650786115,0.708439688648815,0.429338146662741
2,8,0.380952380952381,0.173522379067949,0.725977978424437,0.446659057188741
2,9,0.333333333333333,0.206346562500674,0.656845903451109,0.550297325029577
2,10,0.238095238095238,0.181479429032306,0.505317634710768,0.412070221546711
2,11,0.285714285714286,0.18502328546998,0.733733452879323,0.400487501564936
2,12,0.333333333333333,0.135339182731804,0.605010525403531,0.321730315307021
2,13,0.380952380952381,0.163522067305739,0.725977978424437,0.320875006228616
2,14,0.333333333333333,0.19992507620596,0.709326902131909,0.532291877261917
2,15,0.285714285714286,0.181877176268434,0.600837989235182,0.402729519936519
2,16,0.333333333333333,0.123780897557399,0.645253594533081,0.260873309381671
2,17,0.333333333333333,0.152737733398805,0.563010774386665,0.412658050631656
2,18,0.19047619047619,0.155832467287329,0.617358951884314,0.35248936706679
2,19,0.380952380952381,0.192448681768771,0.792258137209611,0.754076852684514
2,20,0.476190476190476,0.236949502699668,0.798583651884136,0.524708573892773
2,21,0.333333333333333,0.163197510607302,0.62142056774183,0.503410452164923
2,22,0.333333333333333,0.165438439122806,0.605010525403531,0.43047600488688
2,23,0.333333333333333,0.177159484178579,0.715506593634602,0.410654855120538
2,24,0.380952380952381,0.187508219197451,0.737154140200741,0.425848326165889
2,25,0.333333333333333,0.212017042678051,0.661616088873755,0.566708942758451
2,26,0.380952380952381,0.207762191219443,0.753190279733001,0.560772116955372
2,27,0.428571428571429,0.228005542987595,0.896534207326001,0.575603319618079
2,28,0.476190476190476,0.228027984497235,0.880251536377868,0.618302799808373
2,29,0.380952380952381,0.214406701164963,0.750681032515553,0.631101899385198
2,30,0.333333333333333,0.19018847563894,0.605010525403531,0.44038416569905
3,4,0.19047619047619,0.105012263008245,0.470514237615337,0.237424562016752
3,5,0.285714285714286,0.129922822079686,0.645253594533081,0.404299222769139
3,6,0.380952380952381,0.146982037398185,0.660664807161229,0.414689080589216
3,7,0.285714285714286,0.179876311195543,0.516397779494322,0.475270208442551
3,8,0.333333333333333,0.123148525246252,0.597689471550667,0.304912365489875
3,9,0.380952380952381,0.18415693170267,0.7802595923451,0.434112448190707
3,10,0.285714285714286,0.124663773307507,0.614295116833951,0.379465684501778
3,11,0.333333333333333,0.144204257169032,0.552865605150556,0.341512174192746
3,12,0.238095238095238,0.110496363151571,0.567461521705527,0.211683878583053
3,13,0.238095238095238,0.101555461467605,0.535530067157941,0.233688568812372
3,14,0.238095238095238,0.138483986531231,0.694090056325048,0.421931741682584
